epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5481.34,1.05357,0.63377,1.03407,0.73643,0.73625,0.76342,0.50744,1.14778,0.70225,1.14432,0.007921,0.007921,0.007921
44,5611.53,1.05115,0.61826,1.03508,0.73204,0.77874,0.7803,0.52207,1.148,0.6989,1.14556,0.0078715,0.0078715,0.0078715
45,5744.52,1.05046,0.61636,1.03053,0.68326,0.79157,0.75874,0.51016,1.14425,0.71119,1.14152,0.007822,0.007822,0.007822
46,5874.63,1.04467,0.61573,1.02758,0.73649,0.75767,0.76576,0.50874,1.15869,0.71174,1.14659,0.0077725,0.0077725,0.0077725
47,6006.33,1.0392,0.5967,1.02689,0.71891,0.77947,0.77277,0.51422,1.14889,0.70008,1.1474,0.007723,0.007723,0.007723
48,6144.68,1.0331,0.60113,1.022,0.69373,0.79216,0.76949,0.51447,1.15048,0.70386,1.14549,0.0076735,0.0076735,0.0076735
49,6271.4,1.03186,0.60162,1.024,0.70985,0.7911,0.78736,0.5252,1.14414,0.70088,1.13844,0.007624,0.007624,0.007624
50,6401.94,1.02684,0.59779,1.02047,0.72499,0.75345,0.77022,0.51233,1.14733,0.70028,1.14312,0.0075745,0.0075745,0.0075745
51,6527.89,1.02985,0.59539,1.02099,0.72282,0.755,0.76416,0.51055,1.14982,0.7219,1.14167,0.007525,0.007525,0.007525
52,6653.79,1.01787,0.58681,1.01469,0.73169,0.77462,0.77187,0.51638,1.15226,0.709,1.14559,0.0074755,0.0074755,0.0074755
53,6779.71,1.01417,0.5772,1.01533,0.76482,0.73818,0.77632,0.51996,1.15891,0.707,1.15075,0.007426,0.007426,0.007426
54,6906.76,1.00719,0.58384,1.00796,0.73051,0.7692,0.78132,0.5249,1.16469,0.70644,1.15301,0.0073765,0.0073765,0.0073765
55,7042.74,1.00295,0.57134,1.01062,0.72339,0.77395,0.77956,0.52147,1.16672,0.71456,1.15368,0.007327,0.007327,0.007327
56,7172.37,1.00884,0.57442,1.00988,0.74735,0.78863,0.7803,0.5237,1.16776,0.71828,1.15854,0.0072775,0.0072775,0.0072775
57,7298.36,0.98626,0.56056,1.00489,0.77474,0.75035,0.7859,0.53298,1.16581,0.7102,1.15743,0.007228,0.007228,0.007228
58,7423.09,0.99009,0.56524,1.00241,0.71411,0.77402,0.7701,0.5158,1.16479,0.71571,1.15802,0.0071785,0.0071785,0.0071785
59,7549.35,0.98368,0.56427,1.00046,0.76549,0.75846,0.77629,0.51808,1.16809,0.71818,1.1593,0.007129,0.007129,0.007129
60,7676.66,0.97872,0.55535,1.00157,0.74217,0.78067,0.77699,0.51829,1.16762,0.71063,1.15969,0.0070795,0.0070795,0.0070795
61,7801.48,0.97885,0.5556,0.99852,0.75521,0.75849,0.77743,0.52294,1.16918,0.70993,1.15988,0.00703,0.00703,0.00703
62,7926.19,0.97261,0.54564,0.99902,0.74266,0.77232,0.78163,0.52353,1.17079,0.71514,1.16243,0.0069805,0.0069805,0.0069805
63,8051.48,0.97474,0.54965,0.99694,0.74763,0.75348,0.78073,0.52339,1.17214,0.71615,1.16298,0.006931,0.006931,0.006931
64,8177.17,0.96784,0.54374,0.9913,0.74842,0.74841,0.77586,0.52522,1.16985,0.72018,1.15987,0.0068815,0.0068815,0.0068815
65,8302.33,0.95499,0.53667,0.98774,0.74626,0.76729,0.78328,0.52901,1.17018,0.71518,1.1592,0.006832,0.006832,0.006832
