epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.685,1.25589,2.75453,1.01545,0.58583,0.60726,0.5341,0.34343,1.22772,1.20721,1.05236,0.00333075,0.00333075,0.00333075
2,407.215,1.23799,1.7596,1.03682,0.64792,0.69186,0.60962,0.38922,1.20674,1.08448,1.0774,0.00663109,0.00663109,0.00663109
